vendor,java,os,flavor,variant,status,method,source,size_bytes,size_mb,compressed_bytes,compressed_mb,java_home_mb,os_id,os_version_id,os_pretty_name,libc,libc_version,java_version,java_runtime_version,java_vendor,java_vm_name,trivy_os,trivy_eosl,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_unknown,vuln_total,fixable_critical,fixable_high,fixable_medium,fixable_low,fixable_unknown,fixable_total,base_image,base_digest,built_at,build_seconds,trivy_version,trivy_db_updated,note
redhat,17,ubi9-minimal,jre,base,ok,official,registry.access.redhat.com/ubi9/openjdk-17-runtime,392790016,392.8,132100643,132.1,205.9,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,17.0.20.1,17.0.20.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,7,125,85,0,217,0,0,1,0,0,1,registry.access.redhat.com/ubi9/openjdk-17-runtime,registry.access.redhat.com/ubi9/openjdk-17-runtime@sha256:2494f9c9bf0497d177c4b54e9f1101380fcd4ee227b1d473ce574b05a6868517,2026-09-15T20:33:15+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,17,ubi9-minimal,jre,updated,ok,official,registry.access.redhat.com/ubi9/openjdk-17-runtime,415268864,415.3,138582373,138.6,205.9,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,17.0.20.1,17.0.20.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,7,124,85,0,216,0,0,0,0,0,0,registry.access.redhat.com/ubi9/openjdk-17-runtime,registry.access.redhat.com/ubi9/openjdk-17-runtime@sha256:2494f9c9bf0497d177c4b54e9f1101380fcd4ee227b1d473ce574b05a6868517,2026-09-15T20:33:19+00:00,4,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,17,ubi9,jdk,updated,ok,repo,java-17-openjdk-devel,493469696,493.5,167754844,167.8,216.4,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,17.0.20.1,17.0.20.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,13,180,251,0,444,0,0,0,0,0,0,registry.access.redhat.com/ubi9/ubi:latest,registry.access.redhat.com/ubi9/ubi@sha256:c5cc9c221baa8eb13093f90c31bb58c04d83f6afd14510d3496691f92566f99e,2026-09-15T20:33:28+00:00,13,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,17,ubi9,jre,updated,ok,repo,java-17-openjdk-headless,471044096,471.0,157043136,157.0,205.9,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,17.0.20.1,17.0.20.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,164,249,0,423,0,0,0,0,0,0,registry.access.redhat.com/ubi9/ubi:latest,registry.access.redhat.com/ubi9/ubi@sha256:c5cc9c221baa8eb13093f90c31bb58c04d83f6afd14510d3496691f92566f99e,2026-09-15T20:33:26+00:00,7,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,17,ubi10-minimal,jdk,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHEL 10 ships OpenJDK 21 and 25 only
redhat,17,ubi10-minimal,jre,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHEL 10 ships OpenJDK 21 and 25 only
redhat,17,ubi10,jdk,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHEL 10 ships OpenJDK 21 and 25 only
redhat,17,ubi10,jre,,not-available,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHEL 10 ships OpenJDK 21 and 25 only
redhat,21,ubi9-minimal,jdk,base,ok,official,registry.access.redhat.com/ubi9/openjdk-21,448233472,448.2,162028271,162.0,235.4,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,178,91,0,279,0,0,1,0,0,1,registry.access.redhat.com/ubi9/openjdk-21,registry.access.redhat.com/ubi9/openjdk-21@sha256:cc8a30e9181b0135e6657ca3b824d7b32e4c7f6a664769ef641d4f7031339564,2026-09-15T20:33:19+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi9-minimal,jdk,updated,ok,official,registry.access.redhat.com/ubi9/openjdk-21,472756224,472.8,169319816,169.3,235.4,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,177,91,0,278,0,0,0,0,0,0,registry.access.redhat.com/ubi9/openjdk-21,registry.access.redhat.com/ubi9/openjdk-21@sha256:cc8a30e9181b0135e6657ca3b824d7b32e4c7f6a664769ef641d4f7031339564,2026-09-15T20:33:21+00:00,2,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi9-minimal,jre,base,ok,official,registry.access.redhat.com/ubi9/openjdk-21-runtime,409706496,409.7,139100764,139.1,222.8,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,7,125,85,0,217,0,0,1,0,0,1,registry.access.redhat.com/ubi9/openjdk-21-runtime,registry.access.redhat.com/ubi9/openjdk-21-runtime@sha256:ff0a095f96c1823453008aef23b98868f3bf723fa0497d68c2fb9b1a27884064,2026-09-15T20:33:22+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
